District,Village,Year,BNursery,BPrimary,BSecondary,BTertiary,GNursery,GPrimary,GSecondary,GTertiary,Goats,Cows,Ag Biz,Other Biz,Homes with Iron Sheets,# of Motorcycles,# of TVs,# of People,# of HH,Biz Score,LIfestyle Score,Waterborne Illness,Edu Score,Ag Score,Livestock Score,Score,Treated,Time Treated
Chiradzulu,Likoswe,2016,27,43,7,2,42,57,6,1,6,0,34,26,26,1,3,1531,177,60,30,34,185,351,6,15,1,1
Mulanje,Chanje,2014,0,43,5,1,0,21,8,0,32,1,21,13,41,3,0,1885,995,34,44,143,78,710,33,9,0,0
Mulanje,Chanje,2015,2,32,7,0,3,9,4,0,27,2,12,7,31,0,2,1885,995,19,33,78,57,481,29,8,0,0
Mulanje,Chanje,2016,0,31,4,0,0,29,5,0,21,0,17,9,37,0,1,1885,995,26,38,81,69,278,21,6,0,0
Mulanje,Kamphepo,2014,0,4,1,0,0,5,2,0,32,3,3,4,26,0,0,554,73,7,26,81,12,354,35,14,0,0
Mulanje,Kamphepo,2015,4,7,2,0,8,11,2,0,28,5,2,5,22,0,0,554,73,7,22,92,34,150,33,6,0,0
Mulanje,Kamphepo,2016,12,10,4,0,20,9,3,0,20,8,0,3,21,1,0,554,73,3,22,96,58,123,28,5,0,0
Mulanje,Matewere,2014,13,41,18,1,21,56,21,0,76,12,3,3,91,3,0,1709,362,6,94,110,171,734,88,19,0,0
Mulanje,Matewere,2015,11,47,15,3,17,42,22,0,22,14,1,5,96,5,0,1709,362,6,101,70,157,653,36,17,0,0
Mulanje,Matewere,2016,16,43,17,2,22,50,18,3,34,11,4,0,73,4,0,1709,362,4,77,30,171,425,45,16,0,0
Mulanje,Namowa,2014,20,150,8,0,31,173,5,0,120,23,51,2,8,3,3,1005,315,53,14,146,387,890,143,46,0,0
Mulanje,Namowa,2015,26,173,34,0,27,192,41,0,154,37,72,3,16,4,6,1005,315,75,26,163,493,525,191,51,0,0
Mulanje,Namowa,2016,34,183,6,0,41,190,7,0,178,51,61,2,18,4,6,1005,315,63,28,184,461,330,229,47,0,0
Mulanje,Nguo,2014,25,150,12,0,21,210,7,1,35,14,3,11,78,4,0,1793,197,14,82,140,426,470,49,19,0,0
Mulanje,Nguo,2015,20,172,6,0,19,201,10,0,38,14,5,9,63,4,1,1793,197,14,68,191,428,270,52,14,0,0
Mulanje,Nguo,2016,21,160,16,0,20,195,11,0,40,14,4,10,70,3,0,1793,197,14,73,130,423,79,54,15,0,0
Mulanje,Sumani,2014,25,40,5,3,47,63,9,0,18,7,9,9,44,0,0,1840,1009,18,44,129,192,750,25,12,0,0
